DATE,NGDPRSAXDCARQ
2004-01-01,118977.0
2004-04-01,117564.6
2004-07-01,123444.6
2004-10-01,125129.1
2005-01-01,128712.7
2005-04-01,131804.3
2005-07-01,132522.3
2005-10-01,135016.7
2006-01-01,138552.4
2006-04-01,140330.7
2006-07-01,144308.4
2006-10-01,147357.9
2007-01-01,150783.4
2007-04-01,154003.6
2007-07-01,156215.0
2007-10-01,160940.6
2008-01-01,162413.4
2008-04-01,163277.5
2008-07-01,164610.7
2008-10-01,156874.6
2009-01-01,151092.2
2009-04-01,147575.4
2009-07-01,153680.6
2009-10-01,156524.6
2010-01-01,161230.7
2010-04-01,168471.0
2010-07-01,169485.8
2010-10-01,171336.2
2011-01-01,175236.6
2011-04-01,177615.6
2011-07-01,179125.5
2011-10-01,178804.0
2012-01-01,176896.3
2012-04-01,171028.5
2012-07-01,176365.6
2012-10-01,179195.5
2013-01-01,178892.5
2013-04-01,180329.5
2013-07-01,181367.4
2013-10-01,179817.7
2014-01-01,177010.4
2014-04-01,175828.2
2014-07-01,174286.7
2014-10-01,175180.8
2015-01-01,177662.0
2015-04-01,182297.5
2015-07-01,181830.5
2015-10-01,179697.2
2016-01-01,178410.7
2016-04-01,175333.9
2016-07-01,175791.6
2016-10-01,176941.6
2017-01-01,178743.0
2017-04-01,180348.5
2017-07-01,182786.6
2017-10-01,184511.8
2018-01-01,183571.9
2018-04-01,175744.9
2018-07-01,175440.0
2018-10-01,172620.7
2019-01-01,173269.0
2019-04-01,174038.3
2019-07-01,174271.8
2019-10-01,171644.7
2020-01-01,163989.8
2020-04-01,140761.7
2020-07-01,156321.7
2020-10-01,163518.1
2021-01-01,169474.1
2021-04-01,169739.4
2021-07-01,174105.0
2021-10-01,178216.5
2022-01-01,179610.8
2022-04-01,182662.3
2022-07-01,183318.6
2022-10-01,180218.4
2023-01-01,181677.1
2023-04-01,176721.3
2023-07-01,181534.7
