;2010;2011;2012;2013;2014;2015;2016;2017;2018
ARGENTINA;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;6,92
BRAZIL;3,08;3,08;3,08;3,08;3,08;2,31;2,31;2,31;2,31
CHILE;3,85;3,08;3,08;3,08;3,08;3,08;3,08;3,08;2,31
CHINA;0,00;0,00;0,77;0,77;0,77;0,77;0,77;0,00;0,00
COLOMBIA;0,77;3,85;1,54;1,54;1,54;1,54;1,54;1,54;1,54
EGYPT;4,62;4,62;4,62;4,62;4,62;4,62;4,62;4,62;4,62
INDIA;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
INDIA DOMESTIC;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
INDONESIA;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,54
MALAYSIA;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77
MEXICO;1,54;1,54;1,54;2,31;1,54;1,54;1,54;1,54;1,54
PAKISTAN;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77
PERU;8,46;7,69;7,69;8,46;8,46;8,46;8,46;8,46;8,46
PHILIPPINES;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77
RUSSIA;5,83;5,83;6,15;6,15;6,15;6,15;6,15;4,62;3,85
SOUTH AFRICA;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77;0,77
THAILAND;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,54;1,54
TURKEY ;3,08;2,31;2,31;2,31;2,31;2,31;2,31;2,31;2,31
