DATE,NAEXKP01CLQ652S
1996-01-01,20073653553321.0
1996-04-01,20273373713797.0
1996-07-01,20475481863010.0
1996-10-01,20768946849464.0
1997-01-01,21239925831214.0
1997-04-01,21681978358330.0
1997-07-01,22171770694588.0
1997-10-01,22643725787174.0
1998-01-01,22825628879152.0
1998-04-01,23212833162054.0
1998-07-01,23056914012345.0
1998-10-01,22310621457834.0
1999-01-01,22314903841850.0
1999-04-01,22375787050715.0
1999-07-01,22847809467943.0
1999-10-01,23449635224357.0
2000-01-01,23671182778313.0
2000-04-01,23723660435901.0
2000-07-01,24092776776054.0
2000-10-01,24375535936815.0
2001-01-01,24545366770252.0
2001-04-01,24783147241101.0
2001-07-01,24724883206814.0
2001-10-01,24879314910602.0
2002-01-01,25087662860722.0
2002-04-01,25291740560257.0
2002-07-01,25567252889815.0
2002-10-01,25938817980111.0
2003-01-01,26307422273105.0
2003-04-01,26585932818410.0
2003-07-01,26761193855273.0
2003-10-01,26906406246649.0
2004-01-01,27473126535500.0
2004-04-01,28001274011614.0
2004-07-01,28734395400872.0
2004-10-01,29200542341177.0
2005-01-01,29233577951065.0
2005-04-01,29719078089668.0
2005-07-01,30441643547540.0
2005-10-01,30807652960892.0
2006-01-01,31086268480405.0
2006-04-01,31731555103361.0
2006-07-01,32163532935357.0
2006-10-01,32850170083428.0
2007-01-01,33187232968053.004
2007-04-01,33524647894953.0
2007-07-01,33616815589788.0
2007-10-01,34248724388882.996
2008-01-01,34970442928358.004
2008-04-01,35004965940171.0
2008-07-01,34719712777734.0
2008-10-01,34440898142197.004
2009-01-01,34273389766417.0
2009-04-01,34073795721280.004
2009-07-01,34481452129078.004
2009-10-01,34905582442134.0
2010-01-01,35018501546624.0
2010-04-01,36206825460412.0
2010-07-01,37056737978772.0
2010-10-01,37497663266754.0
2011-01-01,37934756898790.0
2011-04-01,38479805079135.0
2011-07-01,38726610263729.0
2011-10-01,39568859204164.0
2012-01-01,40382123499140.0
2012-04-01,41130619483934.0
2012-07-01,41450259695131.0
2012-10-01,41696323498115.0
2013-01-01,42040031197077.0
2013-04-01,42397694115882.0
2013-07-01,42679697518333.0
2013-10-01,42797039909232.0
2014-01-01,42926275300519.0
2014-04-01,43273581314989.0
2014-07-01,43092801147138.0
2014-10-01,43554315454715.0
2015-01-01,43836507145966.0
2015-04-01,44244164578895.0
2015-07-01,44100406307330.0
2015-10-01,44377669709519.0
2016-01-01,44894985838642.0
2016-04-01,44683234842380.0
2016-07-01,44985688106739.0
2016-10-01,44906208185922.0
2017-01-01,44624214864050.0
2017-04-01,45212463661879.0
2017-07-01,46086738965870.0
2017-10-01,46396367786089.0
2018-01-01,46846730394085.0
2018-04-01,47523256533195.0
2018-07-01,47359003666514.0
2018-10-01,47928158135948.0
2019-01-01,47707081769124.0
2019-04-01,48345864570120.0
2019-07-01,48412093335543.0
2019-10-01,46454252605355.0
2020-01-01,47652512247956.0
2020-04-01,41426784246078.0
2020-07-01,43372947287209.0
2020-10-01,46263783157937.0
2021-01-01,48242669735265.0
2021-04-01,48832526266467.0
2021-07-01,50891971628130.0
2021-10-01,52083702343931.0
2022-01-01,51660607541130.0
2022-04-01,51492298586266.0
2022-07-01,50908279334716.0
2022-10-01,50976996558930.0
2023-01-01,51255820079899.0
2023-04-01,51077071631371.0
2023-07-01,51246263660258.0
