DATE,COLNAEXKP01STSAQ
2005-01-01,126092512371996.0
2005-04-01,128906218558882.0
2005-07-01,128609485694703.0
2005-10-01,131244783308692.02
2006-01-01,134206883093395.02
2006-04-01,135728362077153.0
2006-07-01,138485948192012.98
2006-10-01,141013806637439.0
2007-01-01,143307349422049.0
2007-04-01,144901298852212.0
2007-07-01,148000355246045.0
2007-10-01,150247996479694.0
2008-01-01,150507882887769.0
2008-04-01,151548350021427.0
2008-07-01,152918664070699.0
2008-10-01,150738103020105.0
2009-01-01,150932319439445.0
2009-04-01,152321478999857.0
2009-07-01,153885227497834.0
2009-10-01,155476974062864.0
2010-01-01,156752942786086.0
2010-04-01,159093022272726.0
2010-07-01,160298650037053.0
2010-10-01,164006384904135.0
2011-01-01,167266685314309.0
2011-04-01,169689657853150.0
2011-07-01,173159329171877.0
2011-10-01,174512327660664.0
2012-01-01,177128911587820.0
2012-04-01,177903355104211.0
2012-07-01,177049932054044.0
2012-10-01,179332801253924.0
2013-01-01,181561946723268.0
2013-04-01,187548938966391.0
2013-07-01,188032706682469.0
2013-10-01,190795407627873.0
2014-01-01,193616014781446.0
2014-04-01,194005605487997.0
2014-07-01,195962077157281.0
2014-10-01,198005302573277.0
2015-01-01,199247323168734.0
2015-04-01,200676647059225.0
2015-07-01,202694057462948.0
2015-10-01,202073972309092.0
2016-01-01,204040787304249.0
2016-04-01,205088250997134.0
2016-07-01,205614913538119.0
2016-10-01,206745048160499.0
2017-01-01,206711421682121.0
2017-04-01,207591546082979.0
2017-07-01,208914692071126.0
2017-10-01,209438340163773.0
2018-01-01,210239851954951.0
2018-04-01,213301349286692.0
2018-07-01,215094323243478.0
2018-10-01,215372475514879.0
2019-01-01,217727029380198.0
2019-04-01,219872870644364.0
2019-07-01,222029455775988.0
2019-10-01,221594644199450.0
2020-01-01,218531146760625.0
2020-04-01,182909931908631.0
2020-07-01,201960226056207.0
2020-10-01,213913695274537.0
2021-01-01,222506725824767.0
2021-04-01,217696041168801.0
2021-07-01,229538965065880.0
2021-10-01,237610267940551.0
2022-01-01,240388330928226.0
2022-04-01,244141516489511.0
2022-07-01,246347641112797.0
2022-10-01,242317079837382.0
2023-01-01,247579583303575.0
2023-04-01,245132884533452.0
2023-07-01,245718212198545.0
