DATE,NGDPRSAXDCZAQ
1993-01-01,570937.3
1993-04-01,574835.4
1993-07-01,582207.0
1993-10-01,587176.1
1994-01-01,586899.4
1994-04-01,592625.5
1994-07-01,599289.7
1994-10-01,610426.2
1995-01-01,611952.0
1995-04-01,613711.2
1995-07-01,617783.0
1995-10-01,619861.0
1996-01-01,631343.9
1996-04-01,638865.5
1996-07-01,646477.5
1996-10-01,652542.5
1997-01-01,655571.8
1997-04-01,659684.9
1997-07-01,660340.8
1997-10-01,660432.0
1998-01-01,662167.0
1998-04-01,663103.5
1998-07-01,661651.0
1998-10-01,662288.1
1999-01-01,668653.1
1999-04-01,673974.9
1999-07-01,681334.0
1999-10-01,688828.6
2000-01-01,696879.9
2000-04-01,703291.1
2000-07-01,710256.4
2000-10-01,716300.4
2001-01-01,720702.2
2001-04-01,724303.5
2001-07-01,726228.4
2001-10-01,731815.4
2002-01-01,739763.0
2002-04-01,749149.5
2002-07-01,757628.6
2002-10-01,763932.0
2003-01-01,768781.2
2003-04-01,772535.7
2003-07-01,776728.1
2003-10-01,781209.3
2004-01-01,793035.1
2004-04-01,804117.4
2004-07-01,817265.7
2004-10-01,825993.5
2005-01-01,834390.5
2005-04-01,849364.1
2005-07-01,860946.2
2005-10-01,866709.0
2006-01-01,881938.5
2006-04-01,894464.2
2006-07-01,906818.1
2006-10-01,919357.8
2007-01-01,934285.1
2007-04-01,941942.1
2007-07-01,952981.1
2007-10-01,966485.6
2008-01-01,970544.9
2008-04-01,982394.1
2008-07-01,984741.4
2008-10-01,979135.8
2009-01-01,963904.9
2009-04-01,960596.7
2009-07-01,962824.4
2009-10-01,969246.1
2010-01-01,980554.6
2010-04-01,988785.5
2010-07-01,997588.1
2010-10-01,1006873.5
2011-01-01,1016789.2
2011-04-01,1022479.8
2011-07-01,1026710.6
2011-10-01,1033734.2
2012-01-01,1039593.8
2012-04-01,1048271.7
2012-07-01,1052533.5
2012-10-01,1057553.5
2013-01-01,1065760.3
2013-04-01,1073512.5
2013-07-01,1078605.8
2013-10-01,1084412.5
2014-01-01,1082916.7
2014-04-01,1087190.7
2014-07-01,1092415.5
2014-10-01,1100595.2
2015-01-01,1108545.4
2015-04-01,1099186.4
2015-07-01,1104137.4
2015-10-01,1108923.4
2016-01-01,1111572.2
2016-04-01,1112641.7
2016-07-01,1112506.2
2016-10-01,1113450.8
2017-01-01,1118707.7
2017-04-01,1124808.1
2017-07-01,1126876.6
2017-10-01,1131309.2
2018-01-01,1137294.2
2018-04-01,1134466.2
2018-07-01,1148418.1
2018-10-01,1151604.9
2019-01-01,1141546.4
2019-04-01,1146708.6
2019-07-01,1147913.9
2019-10-01,1147498.2
2020-01-01,1150205.5
2020-04-01,955936.5
2020-07-01,1087187.0
2020-10-01,1116997.6
2021-01-01,1124160.2
2021-04-01,1138750.3
2021-07-01,1117395.8
2021-10-01,1132737.6
2022-01-01,1150092.0
2022-04-01,1140468.4
2022-07-01,1160699.9
2022-10-01,1148001.1
2023-01-01,1152669.1
2023-04-01,1157940.6
2023-07-01,1155074.2
